products	reactants	set
COc1cc2c(cc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O	train
CCOc1cc2c(cc1O)CCN/C2=C\c1ccc(OCC)c(OCC)c1	CCOc1ccc(/C=C2\NCCc3cc(OCC)c(OCC)cc32)cc1OCC	train
Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1	CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1	train
N=C(N)Nc1ccc(C(=O)Oc2ccc(CC(=O)O)cc2)cc1	CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1	train
C[C@]12CCC(=O)C=C1C[C@@H](S)[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1	CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12	train
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O	CC(C)(CO)[C@@H](O)C(=O)NCCCO	train
Nc1ncnc2c1CN(c1cnc(O)c(C(F)(F)F)c1)CC2	CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(O)c(C(F)(F)F)c2)CC3)C1	train
CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](CC(=O)CCCCC(=O)O)[C@@H](O)C[C@H]1O	CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O	train
CCOc1ncc(C(=O)O)c2c1[C@H](c1ccc(C#N)cc1O)C(C(N)=O)=C(CO)N2	CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2	train
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1=O	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1O	train
O=C(O)[C@H]1OC(OCCN(CCO)CCO)[C@H](O)[C@@H](O)[C@@H]1O	OCCN(CCO)CCO	train
Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1	CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C	train
O=C(O)C/C=C/CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O	CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O	train
C=C1C[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O	C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O	train
O=c1nc(NO)ccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	CC(C)C(=O)OC[C@H]1O[C@@H](n2cc/c(=N/O)[nH]c2=O)[C@H](O)[C@@H]1O	train
COc1ccc(Br)c(OC)c1C(=O)NC[C@]1(O)CCC(=O)N1	COc1ccc(Br)c(OC)c1C(=O)NC[C@@H]1CCC(=O)N1	train
Cc1ccc2c(Cl)cc(Cl)c(OS([O-])([O-])[O-])c2n1	Cc1ccc2c(Cl)cc(Cl)c(O)c2n1	train
NCCCN1c2ccccc2Sc2ccc(Cl)cc21	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	train
O=C(O)CNC12CC3CC(CC(O)(C3)C1)C2	N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2	train
O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2Cl)=NC1O	O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1	train
CC12CCC(/C(=C\c3ccc(CO)cc3)C1=O)C2(C)C	Cc1ccc(/C=C2/C(=O)C3(C)CCC2C3(C)C)cc1	train
C[C@]12CC[C@@H](O)C[C@H]1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO	train
