products	reactants	set
Cc1cc2c(s1)N(C1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1N=C2N1CCN(C)CC1	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1	train
CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	train
CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	train
COc1ccc2nc([S+]([O-])Cc3ncc(CO)c(OC)c3C)[nH]c2c1	COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1	train
COc1c(C)cnc(C[S+]([O-])c2nc3cc(O)ccc3[nH]2)c1C	COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1	train
COc1ccc2nc(S(=O)(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1	COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1	train
COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3CO)[nH]c2c1	COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1	train
NC(=O)c1c[nH]c(=O)cn1	NC(=O)c1cnccn1	train
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	train
CNCCN1C(=O)C(OC(C)=O)C(c2ccc(OC)cc2)Sc2ccccc21	COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1	train
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2O)cc1	COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1	train
CC(=O)OC1C(=O)N(CCN(C)C)c2ccccc2SC1c1ccc(O)cc1	COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1	train
O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1	CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21	train
