products	reactants	set
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccc(O)cc3)C(C)=C1C2(C)C	CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C	val
CCC1(O)C(=O)OCC1Cc1cncn1C	CCC1C(=O)OCC1Cc1cncn1C	train
CCc1cc2c(s1)-n1c(C)nnc1C(O)N=C2c1ccccc1Cl	CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl	train
C=CC=C(CCC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O	C=CC=C(CCC)C(=O)O	val
Oc1cc(-c2ccc(Cl)cc2)ccc1Cl	Clc1ccc(-c2ccc(Cl)cc2)cc1	train
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)C(O)C(C)C=CC=CC=C1C	COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C	train
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)(O)CC(C)C=CC=CC=C1C	COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C	train
Oc1cc(O)cc(O)c1	C=C(C(=O)c1c(O)cc(O)cc1O)c1ccc(O)cc1	train
CN(CO)N=O	CN(C)N=O	train
CCN(CC)CCCN(c1ccc(O)cc1)C1Cc2ccccc2C1	CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1	train
